id,gjennomforing_id,innsatsbehov,start_dato,slutt_dato
deltaker0,gjennomføring192,Landegruppe3,2023-06-01,2023-09-11
deltaker1,gjennomføring73,Landegruppe3,2014-02-10,2015-03-09
deltaker2,gjennomføring56,Landegruppe3,2022-10-23,2023-01-17
deltaker3,gjennomføring192,S.Bestemt,2022-05-13,2022-05-21
deltaker4,gjennomføring155,Landegruppe3,2021-07-11,2021-11-24
deltaker5,gjennomføring188,S.Tilpasset,2024-01-02,2024-01-28
deltaker6,gjennomføring109,S.Tilpasset,2014-10-01,2015-08-13
deltaker7,gjennomføring169,Landegruppe3,2026-09-25,2026-10-25
deltaker8,gjennomføring102,S.Tilpasset,2015-12-16,2022-12-14
deltaker9,gjennomføring130,S.Tilpasset,2023-09-08,2024-01-09
deltaker10,gjennomføring44,S.Tilpasset,2026-08-16,2026-08-18
deltaker11,gjennomføring48,S.Bestemt,2015-03-16,2015-05-02
deltaker12,gjennomføring107,S.Bestemt,2023-09-10,2024-01-28
deltaker13,gjennomføring89,S.Tilpasset,2023-09-23,2024-03-16
deltaker14,gjennomføring144,S.Tilpasset,2010-05-30,2010-06-04
deltaker15,gjennomføring92,Landegruppe3,2019-06-16,2023-04-18
deltaker16,gjennomføring133,S.Tilpasset,2015-01-11,2016-07-09
deltaker17,gjennomføring22,S.Bestemt,2012-09-20,2014-08-13
deltaker18,gjennomføring12,S.Bestemt,2024-02-27,2025-04-21
deltaker19,gjennomføring186,Landegruppe3,2020-11-15,2022-03-10
deltaker20,gjennomføring198,S.Tilpasset,2016-11-16,2023-11-12
deltaker21,gjennomføring168,Landegruppe3,2021-10-02,2021-12-19
deltaker22,gjennomføring25,S.Tilpasset,2023-07-07,2024-08-26
deltaker23,gjennomføring107,S.Bestemt,2023-10-28,2023-11-01
deltaker24,gjennomføring50,Landegruppe3,2020-05-25,2020-06-13
deltaker25,gjennomføring188,S.Bestemt,2024-03-02,2024-04-02
deltaker26,gjennomføring57,S.Bestemt,2021-03-24,2021-12-13
deltaker27,gjennomføring47,S.Bestemt,2013-02-26,2014-04-14
deltaker28,gjennomføring129,Landegruppe3,2013-09-10,2013-09-20
deltaker29,gjennomføring189,S.Tilpasset,2018-02-02,2019-03-29
deltaker30,gjennomføring2,S.Bestemt,2025-02-05,2025-02-15
deltaker31,gjennomføring95,Landegruppe3,2013-02-21,2014-07-17
deltaker32,gjennomføring99,S.Bestemt,2022-02-03,2025-02-26
deltaker33,gjennomføring149,S.Bestemt,2021-06-10,2021-10-07
deltaker34,gjennomføring126,S.Bestemt,2014-01-21,2014-06-12
deltaker35,gjennomføring170,S.Bestemt,2023-11-08,2024-09-23
deltaker36,gjennomføring140,S.Tilpasset,2018-06-03,2020-05-15
deltaker37,gjennomføring128,Landegruppe3,2025-03-31,2025-05-12
deltaker38,gjennomføring84,Landegruppe3,2026-07-26,2026-09-12
deltaker39,gjennomføring198,S.Bestemt,2024-03-24,2024-04-04
deltaker40,gjennomføring71,S.Tilpasset,2022-05-18,2023-12-02
deltaker41,gjennomføring41,S.Bestemt,2026-11-13,2026-11-25
deltaker42,gjennomføring118,S.Tilpasset,2020-02-19,2020-03-04
deltaker43,gjennomføring122,S.Tilpasset,2026-10-26,2026-12-18
deltaker44,gjennomføring90,S.Tilpasset,2019-07-28,2019-11-12
deltaker45,gjennomføring130,S.Bestemt,2020-05-09,2021-08-18
deltaker46,gjennomføring173,Landegruppe3,2014-02-13,2015-11-21
deltaker47,gjennomføring155,S.Bestemt,2020-01-02,2022-08-27
deltaker48,gjennomføring66,S.Tilpasset,2023-04-24,2023-09-19
deltaker49,gjennomføring79,Landegruppe3,2014-12-17,2015-02-25
deltaker50,gjennomføring159,S.Bestemt,2024-11-09,2025-02-27
deltaker51,gjennomføring191,S.Tilpasset,2023-09-27,2023-09-30
deltaker52,gjennomføring179,S.Bestemt,2021-04-16,2021-06-11
deltaker53,gjennomføring167,Landegruppe3,2021-12-23,2025-05-10
deltaker54,gjennomføring8,S.Tilpasset,2019-12-10,2022-08-23
deltaker55,gjennomføring46,S.Bestemt,2017-01-01,2017-11-28
deltaker56,gjennomføring126,S.Tilpasset,2015-05-25,2017-08-14
deltaker57,gjennomføring198,Landegruppe3,2023-01-17,2024-02-15
deltaker58,gjennomføring67,Landegruppe3,2025-12-30,2026-01-05
deltaker59,gjennomføring37,S.Tilpasset,2018-04-09,2020-07-23
deltaker60,gjennomføring177,S.Tilpasset,2019-03-30,2019-08-04
deltaker61,gjennomføring41,S.Bestemt,2026-10-03,2026-11-24
deltaker62,gjennomføring63,S.Tilpasset,2026-09-23,2026-09-25
deltaker63,gjennomføring112,S.Tilpasset,2015-12-15,2016-07-11
deltaker64,gjennomføring2,S.Bestemt,2025-01-01,2025-02-13
deltaker65,gjennomføring123,S.Bestemt,2024-05-03,2024-05-13
deltaker66,gjennomføring179,Landegruppe3,2012-07-20,2013-02-05
deltaker67,gjennomføring61,Landegruppe3,2023-10-03,2023-11-23
deltaker68,gjennomføring196,S.Tilpasset,2016-09-27,2017-05-20
deltaker69,gjennomføring48,S.Bestemt,2017-12-20,2018-04-09
deltaker70,gjennomføring21,S.Tilpasset,2018-07-14,2018-07-19
deltaker71,gjennomføring179,S.Tilpasset,2017-09-09,2018-03-22
deltaker72,gjennomføring146,S.Bestemt,2021-01-03,2022-03-05
deltaker73,gjennomføring100,S.Tilpasset,2026-03-16,2026-03-18
deltaker74,gjennomføring76,Landegruppe3,2018-02-10,2018-10-06
deltaker75,gjennomføring192,Landegruppe3,2021-02-28,2024-01-02
deltaker76,gjennomføring130,Landegruppe3,2024-05-03,2024-05-25
deltaker77,gjennomføring137,Landegruppe3,2016-09-06,2017-11-18
deltaker78,gjennomføring52,S.Tilpasset,2021-04-08,2021-06-02
deltaker79,gjennomføring34,S.Tilpasset,2022-05-13,2024-02-16
deltaker80,gjennomføring62,S.Bestemt,2015-06-26,2018-03-31
deltaker81,gjennomføring118,S.Bestemt,2019-12-27,2020-02-09
deltaker82,gjennomføring114,S.Bestemt,2025-12-07,2026-09-29
deltaker83,gjennomføring83,Landegruppe3,2018-11-02,2021-05-27
deltaker84,gjennomføring191,S.Bestemt,2021-07-30,2022-04-18
deltaker85,gjennomføring91,Landegruppe3,2013-02-01,2014-04-09
